topic,hours,value
Algebra (Topic 1),12,4.9
Calculus (Topic 2),6,7.2
Physics (Topic 3),4,15.5
Chemistry (Topic 4),12,15.6
Biology (Topic 5),10,4.5
History (Topic 6),8,3.5
Geography (Topic 7),3,6.7
Literature (Topic 8),10,13.2
Economics (Topic 9),10,6.4
Statistics (Topic 10),12,14.9
Thermodynamics (Topic 11),8,6.7
Circuits (Topic 12),11,7.7
Signals (Topic 13),2,15.9
Mechanics (Topic 14),4,14.9
Optics (Topic 15),7,7.7
Genetics (Topic 16),5,19.3
Ecology (Topic 17),7,4.7
Sociology (Topic 18),8,4.6
Psychology (Topic 19),7,13.3
Philosophy (Topic 20),2,15.4
Ethics (Topic 21),10,5.1
Ecology (Topic 22),8,4.3
Ethics II (Topic 23),6,17.1
Trigonometry (Topic 24),11,18.1
Geometry (Topic 25),7,12.8
Number Theory (Topic 26),3,3.8
Set Theory (Topic 27),5,16.1
Logic (Topic 28),3,17.5
Cryptography (Topic 29),3,9.5
Networking (Topic 30),9,13.8
Compilers (Topic 31),7,5.8
Operating Systems II (Topic 32),7,6.6
Distributed Systems (Topic 33),6,14.9
Machine Learning (Topic 34),12,14.0
Data Mining (Topic 35),11,13.8
Robotics (Topic 36),10,15.4
Control Systems (Topic 37),4,10.9
Fluid Dynamics (Topic 38),6,19.8
Materials Science (Topic 39),12,14.7
Structural Analysis (Topic 40),5,14.6
Thermal Engineering (Topic 41),2,6.9
Power Systems (Topic 42),2,16.7
Digital Logic (Topic 43),8,7.6
Microprocessors (Topic 44),5,18.5
Embedded Systems (Topic 45),11,17.9
Software Testing (Topic 46),7,6.6
Web Development (Topic 47),9,9.7
Mobile Development (Topic 48),12,10.8
Cloud Computing (Topic 49),6,5.4
Cybersecurity (Topic 50),10,12.2
Game Theory (Topic 51),11,10.3
Operations Research (Topic 52),11,9.8
Supply Chain (Topic 53),5,20.0
Marketing (Topic 54),4,11.7
Finance (Topic 55),3,15.8
Accounting (Topic 56),3,5.6
Organizational Behavior (Topic 57),4,16.5
Project Management (Topic 58),8,13.1
Quality Control (Topic 59),8,9.5
Environmental Science (Topic 60),9,12.0
